Row,Body Weight,Heart Weight,EndoEpi,HR,MBP, dPLVdtmax,Average Flow, Max LV Pressure, Min LV Pressure,Flow Pulsatility,dPLVdtmin,LVEDP,Venous O2 Content,O2_Extration,Hyperemic Flow,CFR,Average Flow- HW Normalized,CCV value,CCV percent,MSE,Mode1,Mode2,Mode3,Mode4,Mode5
OSS1145,52,195,0.534166054371785,79.4246128050126,98.0586751750351,1298.701,34.9137848135809,112.012987,10.064935,72.422681,-2056.27699999999,19.220231278481,2.2,0.82258064516129,NaN,NaN,0.179045050326056,1.83333333333333,0.00242686316904205,0.0243022356326739,0.0457909110246967,1.09243378136693,-0.060715251772463,-1.33356124470922,0.295577453201342
OSS1146,67.5,218,1.10064239828694,68.8336520076482,89.6405939020268,1406.927,43.5376544759081,118.181818,11.363636,87.693299,-2489.17700000001,21.110170057971,2.4,0.813953488372093,NaN,NaN,0.199714011357377,1.06666666666667,0.00122370936902486,0.0338888674528239,-0.258586576569079,-0.456719977550642,1.74568026572892,0.305683945349063,-0.243989520091793
OSS1147,67.8,254,1.39291465378422,58.0645161290323,102.70056872,1839.827,34.6277955316774,125.324675,10.606061,76.159794,-2705.628,25.0685424666667,1.7,0.860655737704918,NaN,NaN,0.136329903668021,11.8888888888889,0.011505376344086,0.0656639196782506,0.284673223888504,-0.924546606659171,0.735343939729219,0.376506558075181,0.231512966766183
OSS1177,74.6,277,1.01717791411043,56.5220121836337,121.041325233655,1460.19799999999,40.0892966573509,151.456833,11.271112,107.590454,-2287.86700000001,24.2918905178571,2.4,0.836734693877551,NaN,NaN,0.144726702734119,20.0666666666667,0.0189034729636375,0.115896360406104,0.269707871584943,-0.411745492865533,0.829056850643262,-0.257724541999121,0.456839124089973
OSS1178,68.4,225,0.954204204204204,63.5974984983924,112.892888183437,1823.565,46.2756362382349,145.414171,14.474127,117.502321,-2442.635,31.7513403,3.5,0.78125,NaN,NaN,0.205669494392155,15.0622222222222,0.0159653275860038,0.0800174729892908,0.785662312064585,-0.361616742059124,1.03415089283039,-1.40492237122105,0.624715498948732
OSS1179,72.5,222,0.913625304136253,57.6756704796693,116.787259605479,2079.268,64.7593944093238,147.48671,5.497611,145.914578,-2792.54399999999,22.2535495333333,3.3,0.795031055900621,NaN,NaN,0.291708983825783,3.9,0.00374891858117851,0.0438531519470563,0.237776487352129,-0.578691358729494,0.86281484283663,-0.0667105226039086,0.637162740425885
OSS1197,55.7,223,0.821022727272727,56.1569899853368,113.49399290672,3001.548,54.1436620588693,146.550912,10.155461,134.56621,-2133.388,19.6100488035714,5.4,0.625,NaN,NaN,0.242796690846947,9.79555555555556,0.00916814858723573,0.064727707246789,1.49932381827211,-1.19919156615717,0.059435304174209,-0.712819030464641,0.526440488855944
OSS1198,63.6,237,0.898550724637681,92.9704044212592,106.825149874083,1131.00900000001,88.1773498498089,122.862529,20.499529,186.544901,-1696.513,41.5927211397849,2.8,0.820512820512821,NaN,NaN,0.372056328480207,1.61555555555556,0.0025033142227502,0.0322766347011145,-1.2949949282473,0.570495903101786,0.84618377665634,-0.954279182310501,-0.285716190138339
OSS1199,58,265,0.769832402234637,83.7754817090198,101.554885563716,774.202000000002,93.5167248478544,119.126161,15.982227,192.161339,-1824.425,37.5618520625,4.4,0.719745222929936,NaN,NaN,0.352893301312658,2.04000000000001,0.00284836637810669,0.0325604133187453,0.187364323184642,-0.0387323559294142,1.29502476362265,-1.34925501468622,-0.0607492751938972
OSS1201,58.5,237,1.24463519313305,51.9405569181936,168.915211041638,2046.17400000001,54.6307719720107,140.539813,9.241435,138.03653,-2429.832,23.9151017,2.4,0.843137254901961,NaN,NaN,0.230509586379792,15.2666666666667,0.0132159861491848,0.0575218334873046,2.21086043078203,-1.33420747208125,-0.533436143076153,0.0162415302797181,0.335323102036529
OSS1169,57.2,217,1.21654135338346,96.7429861335053,108.214609399065,1367.543,48.5837254843061,102.324824,5.379005,113.778904,-2005.731,8.99702611458333,2.6,0.815602836879433,NaN,NaN,0.223888135872378,2.32,0.0037407287971622,0.0731334767803209,-1.13573245261908,0.576615711761031,0.815811552039,-0.445329693514666,-0.0849652984971461
OSS1172,69.2,255,NaN,61.3580583583311,111.077864363717,1999.05700000001,40.8533583663077,121.942519,3.446187,107.4121,-3190.41499999999,12.5741909508197,1.8,0.854838709677419,NaN,NaN,0.160209248495324,20.0177777777778,0.0204708662848832,0.078216080379254,0.71074047524155,-1.39309719642715,-1.7650853473725,0.26914676620339,0.151114966829043
